Account,الحساب
Scope: All Profiles,النطاق: جميع الملفات الشخصية
Scope: Current Profile,النطاق: الملف الشخصي الحالي
Scope: Specific Profile,نطاق محدد
Search customer,بحث عميل
Search drafts or customers,بحث مسودات أو عملاء
Search invoices or customers,بحث فواتير أو عملاء
Search item,بحث صنف
Search item / code,بحث صنف/كود
Search items or barcode,بحث أصناف أو باركود
Search return invoices or customers,بحث فواتير إرجاع أو عملاء
Search supplier,بحث مورد
Search unpaid invoices or customers,بحث فواتير غير مدفوعة أو عملاء
Select Batch,تحديد الدفعة
Select a printer to use QZ silent printing.,حدد طابعة لاستخدام طباعة QZ الصامتة.
Select printer,تحديد الطابعة
Selected expense account is not allowed for this POS Profile.,حساب المصروفات المحدد غير مسموح به لهذا الملف الشخصي.
Selected movement type is not allowed by POS Profile.,نوع الحركة المحدد غير مسموح به في ملف نقاط البيع.
Selected source account is not allowed for this POS Profile.,حساب المصدر المحدد غير مسموح به لهذا الملف الشخصي.
Serial,تسلسلي
Server CPU Usage:,استخدام المعالج للخادم:
Server Memory Usage:,استخدام ذاكرة الخادم:
Server Uptime:,وقت تشغيل الخادم:
Service Charges,رسوم الخدمة
Share,مشاركة
Shift Closed Snapshot,لقطة الوردية المغلقة
Shift Overview,نظرة عامة على الوردية
Show cart on customer-facing screen,عرض السلة على شاشة العميل
Show last invoice rate,عرض سعر آخر فاتورة
Showing 0 of 0,عرض 0 من 0
Shows the distribution of invoices per currency,يوضح توزيع الفواتير لكل عملة
Size:,الحجم:
Skipped Payments,المدفوعات المتخطاة
Skipping items without barcodes,تخطي الأصناف بدون باركود
Slow Moving,بطيء الحركة
Slow Moving Items,أصناف بطيئة الحركة
Slow Queries:,الاستعلامات البطيئة:
Sold,تم البيع
Sorry, {0} have used this coupon before
Source,المصدر
Source Cash Account (Optional Override),حساب النقد المصدر (تجاوز اختياري)
Source account,حساب المصدر
Source account must be a Cash account.,حساب المصدر يجب أن يكون حساب نقدي.
Source account must belong to the selected company.,حساب المصدر يجب أن ينتمي للشركة المحددة.
Source account override is disabled for this POS Profile.,تجاوز حساب المصدر معطل لهذا الملف الشخصي.
Source and target accounts are required.,حسابا المصدر والهدف مطلوبان.
Source and target accounts cannot be the same for cash deposit.,لا يمكن أن يكون حسابا المصدر والهدف متماثلين لإيداع النقد.
Specific Profile,ملف شخصي محدد
Split Invoices,تقسيم الفواتير
Staff,الموظفين
Staff / Cashier Performance Report,تقرير أداء الموظفين/أمين الصندوق
Stock,المخزون
Stock Movement Report,تقرير حركة المخزون
Stock UOM is required.,وحدة قياس المخزون مطلوبة.
Submit Deposit,إرسال الإيداع
Submit Expense,إرسال المصروف
Submitted,مقدم
Submitted Cash Movements,حركات النقد المقدمة
Submitted entries,إدخالات مقدمه
Successfully scanned:,تم المسح بنجاح:
Suggested,مقترح
Suggested Qty,الكمية المقترحة
Supplier,المورد
Supplier Purchase Summary,ملخص مشتريات المورد
Supplier and dates are required.,المورد والتاريخ مطلوبان.
Supplier is required.,المورد مطلوب.
Supplier name is required,اسم المورد مطلوب
Supplier name is required.,اسم المورد مطلوب.
Supplier {0} was not found.,لم يتم العثور على المورد {0}.
Suppliers,الموردون
Suppliers not found,لم يتم العثور على موردين
Switched to:,تم التبديل إلى:
Sync All Invoices,مزامنة جميع الفواتير
Syncing offline catalog...,جارٍ مزامنة الكتالوج في وضع عدم الاتصال...
System Status,حالة النظام
Tables:,الجداول:
Target,الهدف
Target account,حساب الهدف
Target account must belong to the selected company.,حساب الهدف يجب أن ينتمي للشركة المحددة.
Tax,الضريبة
Tax / Charges Report,تقرير الضرائب/الرسوم
Tax Heads,رؤساء الضرائب
Taxable Amount,المبلغ الخاضع للضريبة
Tendered,مقدم
The amount paid is not complete,المبلغ المدفوع غير كامل
The invoice stayed in draft. Please review and submit it manually.,الفاتورة ظلت في مسودة. يرجى مراجعتها وإرسالها يدوياً.
The maximum discount allowed is,الحد الأقصى للخصم المسموح به هو
This Referral Code {0} not exists,كود الإحالة هذا {0} غير موجود
Threshold,الحد
Tip: Clear cache regularly to free up space and keep the app fast.,نصيحة: امسح ذاكرة التخزين المؤقت بانتظام لتوفير مساحة والحفاظ على سرعة التطبيق.
Tip: Close unused tabs or apps to reduce lag.,نصيحة: أغلق علامات التبويب أو التطبيقات غير المستخدمة لتقليل التأخير.
Tip: Monitor slow queries and table size for optimal performance.,نصيحة: راقب الاستعلامات البطيئة وحجم الجداول للحصول على أداء مثالي.
To Be Paid,المطلوب دفعه
To Date,حتى تاريخ
Today,اليوم
Today Profit,ربح اليوم
Today Sales,مبيعات اليوم
Toggle navigation drawer,تبديل درج التنقل
Top Brand,أفضل علامة تجارية
Top Category,أفضل فئة
Top Charge Head,أفضل رئيس رسوم
Top Customers,أفضل العملاء
Top Discount,أفضل خصم
Top Items by Location,أفضل أصناف حسب الموقع
Top Margin,أفضل هامش
Top Pending,أفضل معلق
Top Profit Item,أفضل صنف ربح
Top Return Items,أفضل أصناف مرتجعة
Top Sales by Cashier,أفضل مبيعات حسب أمين الصندوق
Top Supplier,أفضل مورد
Top Suppliers by Spend,أفضل الموردين حسب الإنفاق
Top Tax Head,أفضل رئيس ضرائب
Top Variant,أفضل متغير
Total Change,إجمالي التغيير
Total Charges,إجمالي الرسوم
Total In,الإجمالي الداخل
Total Invoices:,إجمالي الفواتير:
Total Items,إجمالي الأصناف
Total Mpesa:,إجمالي Mpesa:
Total Out,الإجمالي الخارج
Total Payments:,إجمالي المدفوعات:
Total Purchase,إجمالي الشراء
Total Selected :,الإجمالي المحدد:
Total Stock Qty,إجمالي كمية المخزون
Totals by Invoice Currency,الإجماليات حسب عملة الفاتورة
Track how much cash was handed back to customers,تتبع مقدار النقد المردود للعملاء
Track recent sales, collect unpaid balances
Trans Amount is required,المبلغ مطلوب
Transfer,تحويل
Try adjusting your search or filters,حاول تعديل بحثك أو عوامل التصفية
Try changing the date range or status filter.,حاول تغيير نطاق التاريخ أو تصفية الحالة.
Unable to add offer item. Please refresh and try again.,تعذر إضافة صنف العرض. يرجى التحديث والمحاولة مرة أخرى.
Unable to add scanned item.,تعذر إضافة الصنف الممسوح.
Unable to create Journal Entry for customer credit.,تعذر إنشاء قيد يومي لائتمان العميل.
Unable to create purchase order,تعذر إنشاء أمر الشراء
Unable to delete draft invoice,تعذر حذف الفاتورة المسودة
Unable to determine cash account for change payment entry.,تعذر تحديد حساب النقد لإدخال دفع التغيير.
Unable to determine customer receivable account for change payment entry.,تعذر تحديد حساب الذمم المدينة للعميل لإدخال دفع التغيير.
Unable to fetch M-Pesa payments,تعذر جلب مدفوعات M-Pesa
Unable to fetch draft invoices,تعذر جلب فواتير المسودة
Unable to fetch draft orders,تعذر جلب أوامر المسودة
Unable to fetch invoice history,تعذر جلب سجل الفاتورة
Unable to fetch sales orders,تعذر جلب أوامر المبيعات
Unable to fetch unpaid invoices,تعذر جلب الفواتير غير المدفوعة
Unable to generate scale barcode,تعذر إنشاء باركود الميزان
Unable to load Credit Note {0}: {1},تعذر تحميل إشعار دائن {0}: {1}
Unable to load Payment Entry {0}: {1},تعذر تحميل قيد الدفع {0}: {1}
Unable to load draft invoice,تعذر تحميل الفاتورة المسودة
Unable to load invoice details,تعذر تحميل تفاصيل الفاتورة
Unable to load the selected sales order,تعذر تحميل أمر المبيعات المحدد
Unable to prepare return invoice,تعذر إعداد فاتورة الإرجاع
Unable to print draft invoice,تعذر طباعة الفاتورة المسودة
Unable to resolve POS Opening Shift.,تعذر حل وردية فتح نقاط البيع.
Unable to resolve POS cash account from POS Profile cash mode of payment.,تعذر حل حساب النقد من طريقة دفع ملف نقاط البيع.
Unable to submit the selected payment,تعذر تقديم الدفعة المحددة
Unbranded,بدون علامة تجارية
Uncategorized,غير مصنف
Unknown,غير معروف
Unknown Item,صنف غير معروف
Unknown Warehouse,مستودع غير معروف
Unlabeled Charge,رسوم بدون تسمية
Unpaid,غير مدفوع
Update Price List Rate,تحديث سعر قائمة الأسعار
Update available,تحديث متاح
Updated,محدث
Used:,المستخدم:
User must match the selected POS Opening Shift user.,المستخدم يجب أن يتطابق مع مستخدم وردية فتح نقاط البيع المحدد.
Using basic camera settings due to device limitations,استخدام إعدادات الكاميرا الأساسية بسبب قيود الجهاز
Variance %,نسبة الانحراف
Variant-wise,حسب المتغير
Variants,المتغيرات
View Details,عرض التفاصيل
View notifications,عرض الإشعارات
View offline invoices,عرض الفواتير في وضع عدم الاتصال
Void Amount,مبلغ الإلغاء
Void Count,عدد الإلغاء
Voids,الإلغاءات
Waiting for cart items,في انتظار عناصر السلة
Waiting for payment...,في انتظار الدفع...
Walk-in Customer,عميل بدون موعد
Warning: High cache usage may affect performance.,تحذير: الاستخدام العالي للذاكرة المؤقتة قد يؤثر على الأداء.
Warning: High lag may indicate heavy processing or browser slowness.,تحذير: التأخير العالي قد يشير إلى معالجة ثقيلة أو بطء المتصفح.
Week Δ,أسبوع Δ
Week-wise,أسبوعياً
Weight (g),الوزن (جم)
Weight (grams),الوزن (جرام)
You are not allowed to access this shift.,لا يُسمح لك بالوصول إلى هذه الوردية.
You are not allowed to manage this cash movement record.,لا يُسمح لك بإدارة سجل حركة النقد هذا.
You are not allowed to print draft invoices,لا يُسمح لك بطباعة فواتير المسودة
You are not permitted to access POS Profile {0}.,لا يُسمح لك بالوصول إلى ملف نقاط البيع {0}.
You are not permitted to view dashboard data for POS Profile {0}.,لا يُسمح لك بعرض بيانات لوحة المعلومات لملف نقاط البيع {0}.
You are offline. Add Payment will work again when the connection is restored.,أنت غير متصل. إضافة الدفع ستعمل مرة أخرى عند استعادة الاتصال.
You are trying to return more quantity for item {0} than was sold.,أنت تحاول إرجاع كمية أكبر للصنف {0} مما تم بيعه.
You have no notifications right now,ليس لديك إشعارات الآن
Your Cart,سلة التسوق
actual_qty,actual_qty
cache used,ذاكرة التخزين المؤقت مستخدمة
commits,إيداعات
days,أيام
modified_after must be a valid ISO datetime,modified_after يجب أن يكون تاريخ ISO صالحاً
sales,المبيعات
this item,هذا الصنف
{0} Coupon used are {1}. Allowed quantity is exhausted,كوبون {0} المستخدم هو {1}. الكمية المسموح بها مستنفدة
{0} is disabled for this POS Profile.,{0} معطل لملف نقاط البيع هذا.
{0} is invalid.,{0} غير صالح.
{0} must belong to company {1}.,{0} يجب أن ينتمي إلى الشركة {1}.
{0} payment(s) were skipped.,تم تخطي {0} دفعة.
{0} {1} must be submitted before creating change payment entries.,{0} {1} يجب تقديمها قبل إنشاء إدخالات دفع التغيير.
Cost Center is not set in pos profile {},مركز التكلفة غير محدد في ملف نقاط البيع {}
Month-wise,شهرياً
No dead stock items.,لا توجد أصناف مخزون ميت.
Print Purchase Invoice instead of PO,طباعة فاتورة شراء بدلاً من أمر الشراء
Recent updates about your invoices,التحديثات الأخيرة حول فواتيرك
Use Western numerals,استخدام الأرقام الغربية
Total:,الإجمالي:
Cannot Save Offline Invoice: ,لا يمكن حفظ الفاتورة في وضع عدم الاتصال
Cannot Save Offline Payment: ,لا يمكن حفظ الدفع في وضع عدم الاتصال
Error submitting invoice: ,خطأ في إرسال الفاتورة
Switched to: ,تم التبديل إلى
"Sorry, this coupon code cannot be used by this company",عذراً، لا يمكن استخدام رمز الكوبون بهذه الشركة
"Sorry, this coupon code cannot be used by this customer",عذراً، لا يمكن استخدام رمز الكوبون بهذا العميل
"Sorry, this coupon code is no longer valid",عذراً، رمز الكوبون لم يعد صالحاً
"Sorry, this coupon code not exists",عذراً، رمز الكوبون غير موجود
"Sorry, {0} have used this coupon before",عذراً، {0} استخدم هذا الكوبون من قبل
"Track recent sales, collect unpaid balances, and reopen saved work",تتبع المبيعات الأخيرة، تحصيل الأرصدة غير المدفوعة وإعادة فتح العمل المحفوظ
Credit Sale?,بيع بالائتمان؟
Write Off Difference Amount,مبلغ الفرق المرتبط
Cashback?,استرداد نقدي؟
Credit Return?,إرجاع ائتمان؟
Days until due,الأيام حتى الاستحقاق
Write Off Amount,مبلغ الكتابة
This amount will be written off on submission.,سيتم كتابة هذا المبلغ عند الإرسال.
Customer Credit Enabled,تم تفعيل رصيد العميل
Credit redemption details are shown below in this section.,تفاصيل استرداد الائتمان موضحة أدناه في هذا القسم.
Credit Return Active,الإرجاع الائتماني نشط
This return will be settled as customer credit instead of cashback.,سيتم تسوية هذا الإرجاع كائتمان العميل بدلاً من الاسترداد النقدي.
Cashback Active,الاسترداد النقدي نشط
Return value will be settled back through payment methods.,سيتم تسوية قيمة الإرجاع مرة أخرى عبر طرق الدفع.
Select an option on the left to view its settings.,اختر خيارًا على اليمين لعرض إعداداته.
Edit,تعديل
Address,العنوان
Authorization Code,رمز التفويض
Sales Person,مندوب المبيعات
Print Format,تنسيق الطباعة
Redeem Loyalty Points,استرداد نقاط المكافأة
You can redeem up to,يمكنك استرداد حتى
Redeemed Customer Credit,الائتمان المسترد للعميل
You can redeem credit up to,يمكنك استرداد الائتمان حتى
Available Credit,الائتمان المتوفر
Redeem Credit,استرداد الائتمان
Purchase Order,أمر الشراء
Purchase Order Date,تاريخ أمر الشراء
Days,أيام
LOAD SALE,تحميل البيع
