Type,Tipo
Error submitting invoice No response from server,Error al enviar factura Sin respuesta del servidor
Error submitting invoice:,Error al enviar factura:
Error toggling item details,Error al alternar detalles del artículo
Failed to load items. Please try again.,Error al cargar artículos. Por favor intente de nuevo.
Fixing payment amounts for return invoice,Corregir montos de pago para factura de devolución
For POS Closing Shift Payment Reconciliation,Para Conciliación de Pagos al Cerrar Turno POS
Gender,Género
Give Item Row ID,ID de Fila del Artículo a Dar
Give Product,Producto a Dar
Given Quantity,Cantidad Dada
Go Online/Offline,Conectar/Desconectar
Hide Close Shift,Ocultar Cierre de Turno
Hide Unavailable Items,Ocultar Artículos No Disponibles
Hide Variants Items,Ocultar Variantes de Artículos
Increase,Aumentar
Invalid closing amount,Monto de cierre inválido
Is Offer,Es Oferta
Is Offer Replace For item Row ID,Es Oferta Reemplazo para ID de Fila de Artículo
It is best not to use more than four numbers,Es mejor no usar más de cuatro números
Item Price,Precio del Artículo
Item Rate Should Less Then,La Tarifa del Artículo Debe Ser Menor Que
Item price updated,Precio del artículo actualizado
LOAD SALE,CARGAR VENTA
Light/Dark Mode,Modo Claro/Oscuro
Linked Invoices,Facturas Vinculadas
List Rate,Lista de Tarifas
Loading,Cargando
Loading cache,Cargando caché
Loading database stats,Cargando estadísticas de base de datos
Loading server CPU/memory usage,Cargando uso de CPU/memoria del servidor
Loyalty Point,Punto de Lealtad
Loyalty Point Scheme,Programa de Puntos de Lealtad
MB,MB
Manage your offline transactions,Administrar transacciones offline
Max Amount,Monto Máximo
Max Discount Percentage Allowed,Porcentaje Máximo de Descuento Permitido
Max Quantity,Cantidad Máxima
Min Amount,Monto Mínimo
Min Quantity,Cantidad Mínima
Modes of Payment,Modos de Pago
Multiple Items Found,Múltiples Artículos Encontrados
New Price List Rate,Nueva Tarifa de Lista de Precios
No Item has this barcode,Ningún artículo tiene este código de barras
No camera found on this device.,No se encontró cámara en este dispositivo.
Offer Name,Nombre de la Oferta
Open,Abierto
Opening Balance Details,Detalles de Saldo de Apertura
POS Awesome Advance Settings,Configuración Avanzada de POS Awesome
POS Awesome Settings,Configuración de POS Awesome
POS Closing Shift,Cierre de Turno POS
POS Closing Shift Detail,Detalle de Cierre de Turno POS
POS Closing Shift Taxes,Impuestos de Cierre de Turno POS
POS Closing Shift {} against {} between selected period,Cierre de Turno POS {} contra {} entre el período seleccionado
POS Offer,Oferta POS
POS Offer Detail,Detalle de Oferta POS
POS Offers Detail,Detalle de Ofertas POS
POS Opening Shift,Apertura de Turno POS
POS Opening Shift Detail,Detalle de Apertura de Turno POS
POS Profile {} does not belongs to company {},El Perfil POS {} no pertenece a la empresa {}
POS Shift,Turno POS
POS Transactions,Transacciones POS
Paid Change,Cambio Pagado
Payment Request took too long to respond. Please try requesting for payment again,La solicitud de pago tardó demasiado en responder. Por favor intente de nuevo.
Payment name not found. Cannot open print view.,Nombre de pago no encontrado. No se puede abrir vista de impresión.
Payment request failed,Solicitud de pago fallida
Payment submitted but print function could not be executed. Payment name not found.,Pago enviado pero función de impresión no pudo ejecutarse. Nombre de pago no encontrado.
Peak,Máximo
Peak Memory,Máximo de Memoria
Peak Server,Máximo de Servidor
Period End Date,Fecha de Fin de Período
Period Start Date,Fecha de Inicio de Período
Please configure a POS Profile first,Por favor configure un Perfil POS primero
Please request phone payment or use another payment method,Por favor solicite pago por teléfono o use otro método de pago
Please set the customer's mobile number,Por favor establezca el número de móvil del cliente
Price,Precio
Price Discount Scheme,Esquema de Descuento de Precio
Printed,Impreso
Product Discount Scheme,Esquema de Descuento de Producto
Promo Type,Tipo de Promoción
Qualifying Transaction / Item,Transacción / Artículo Calificador
Quantity and Amount Conditions,Condiciones de Cantidad y Monto
Quick Actions,Acciones Rápidas
Referral Code,Código de Referencia
Replace Cheapest Item,Reemplazar Artículo Más Barato
Replace Same Item,Reemplazar Mismo Artículo
Rounded Total,Total Redondeado
Row ID,ID de Fila
STOCK UOM,UdM de Stock
Sales Invoice,Factura de Venta
Sales Invoice Reference,Referencia de Factura de Venta
Sales Manager,Gerente de Ventas
Sales Master Manager,Gerente Maestro de Ventas
Sales User,Usuario de Ventas
Scale Barcode Start With,Código de Barras de Balanza Comienza Con
Search by Serial Number,Buscar por Número Serial
Secure context (HTTPS) required for camera access.,Se requiere contexto seguro (HTTPS) para acceso a cámara.
Send invoice to submit after printing,Enviar factura para enviar después de imprimir
Server CPU Usage,Uso de CPU del Servidor
Server Memory Usage,Uso de Memoria del Servidor
Server Uptime,Tiempo de Actividad del Servidor
Set Posting Date,Establecer Fecha de Publicación
Show Template Items,Mostrar Artículos de Plantilla
Size,Tamaño
Slow Queries,Consultas Lentas
Successfully scanned,Escaneado exitosamente
Switched to,Cambiado a
Switched to:,Cambiado a:
Sync All,Sincronizar Todo
Synced,Sincronizado
System Manager,Gerente del Sistema
Tables,Tablas
Taking longer than expected...,Tomando más tiempo de lo esperado...
Tax ID,ID de Impuesto
Title,Título
To Sync,Para Sincronizar
Total Mpesa,Total Mpesa
Total Outstanding,Total Pendiente
Total Payments,Total Pagos
Total Selected,Total Seleccionado
Total Unallocated,Total Sin Asignar
Track recent sales,Rastrear ventas recientes
Transaction,Transacción
Update,Actualizar
Use Browser Local Storage,Usar Almacenamiento Local del Navegador
Use Cashback,Usar Efectivo de Vuelta
Used,Usado
User {} has been disabled. Please select valid user/cashier,El usuario {} ha sido deshabilitado. Por favor seleccione usuario/cajero válido
Valid From,Válido Desde
Valid Upto,Válido Hasta
Waiting for payment,Esperando pago
Warning High cache usage may affect performance.,Advertencia: Uso alto de caché puede afectar el rendimiento.
Warning High lag may indicate heavy processing or browser slowness.,Advertencia: Alto retraso puede indicar procesamiento pesado o lentitud del navegador.
his item,este artículo
ms,ms
Max Discount Percentage Allowed ,Porcentaje Máximo de Descuento Permitido
Price Discount Scheme ,Esquema de Descuento de Precio
Sorry,Lo siento
Tip Clear cache regularly to free up space and keep the app fast.,Consejo: Limpie la caché regularmente para liberar espacio y mantener la aplicación rápida.
Tip Close unused tabs or apps to reduce lag.,Consejo: Cierre pestañas o aplicaciónes no utilizadas para reducir el retraso.
Tip Monitor slow queries and table size for optimal performance.,Consejo: Monitoree consultas lentas y tamaño de tablas para un rendimiento óptimo.
Total Selected ,Total Seleccionado
